CpordID,Wk,CpSales,VidWk,PreVidWk,PostVidWk,FpPriceDiscWk,FpEmailWk,FpCatalogWk,FpHomePgWk,FpCatPgWk,CpPriceDiscWk,CpEmailWk,CpCatalogWk,CpHomePgWk,CpCatPgWk
84,6,27,1,0,0,0,0,0,0,0,0,0,0,0,0
84,7,26,1,0,0,0,0,0,0,0,0,0,0,0,0
84,8,19,1,0,0,0,0,0,0,0,0,0,0,0,0
84,9,14,1,0,0,0,0,0,0,0,0,0,0,0,0
84,10,25,1,0,0,0,0,0,0,0,0,0,0,0,0
84,11,18,1,0,0,0,0,0,0,0,0,0,0,0,0
84,12,23,1,0,0,0,0,0,0,0,0,0,0,0,0
84,13,127,1,0,0,1,0,0,0,0,1,0,0,0,0
84,14,31,1,0,0,0,0,0,0,0,0,0,0,0,0
84,15,23,1,0,0,0,0,0,0,0,0,0,0,0,0
84,16,13,1,0,0,0,0,0,0,0,0,0,0,0,0
1974,6,17,1,0,0,0,0,0,0,1,0,0,0,0,0
1974,7,27,1,0,0,0,0,0,0,1,0,0,0,0,0
1974,8,20,1,0,0,0,0,0,0,1,0,0,0,0,0
1974,9,16,1,0,0,0,0,0,0,1,0,0,0,0,0
1974,10,38,1,0,0,0,0,0,0,0,0,0,0,0,0
1974,11,33,1,0,0,0,0,0,0,0,0,0,0,0,0
1974,12,24,1,0,0,0,0,0,0,0,0,0,0,0,0
1974,13,81,1,0,0,0,0,0,0,0,1,0,0,0,0
1974,14,33,1,0,0,0,0,0,0,0,0,0,0,0,0
1974,15,24,1,0,0,0,0,0,0,0,0,0,0,0,0
1974,16,25,1,0,0,0,0,0,0,0,0,0,0,0,0
1974,17,13,1,0,0,0,0,0,0,0,0,0,0,0,0
1974,18,24,1,0,0,0,0,0,0,0,0,0,0,0,0
1974,19,23,1,0,0,0,0,0,0,0,0,0,0,0,0
1974,20,22,1,0,0,0,0,0,0,0,0,0,0,0,0
1974,21,34,1,0,0,0,0,0,0,0,1,0,0,0,0
1974,22,23,1,0,0,0,0,0,0,0,0,0,0,0,0
1974,23,28,1,0,0,0,0,0,0,0,0,0,0,0,0
1974,24,13,1,0,0,0,0,0,0,0,0,0,0,0,0
1974,25,13,1,0,0,0,0,0,0,0,0,0,0,0,0
1974,26,37,1,0,0,0,0,0,0,0,1,0,0,0,0
1974,27,59,1,0,0,0,0,0,0,0,1,0,0,0,0
2357,6,16,1,0,0,0,0,0,0,0,0,0,0,0,0
2357,7,16,1,0,0,0,0,0,0,0,0,0,0,0,0
2357,8,11,1,0,0,0,0,1,0,1,0,0,0,0,0
2357,9,14,1,0,0,0,0,1,0,0,0,0,0,0,0
2357,10,26,1,0,0,0,0,0,0,0,0,0,0,0,0
2357,11,23,1,0,0,0,0,0,0,0,0,0,0,0,0
2357,12,13,1,0,0,0,0,0,0,0,0,0,0,0,0
2357,13,51,1,0,0,1,0,0,0,0,1,0,0,0,0
2357,14,15,1,0,0,0,0,0,0,0,0,0,0,0,0
2357,15,12,1,0,0,0,0,0,0,0,0,0,0,0,0
2357,16,6,1,0,0,0,0,0,0,0,0,0,0,0,0
2357,17,6,1,0,0,0,0,0,0,0,0,0,0,0,0
2357,18,18,1,0,0,0,0,0,0,1,0,0,0,0,0
2357,19,12,1,0,0,0,0,0,0,1,0,0,0,0,0
2357,20,18,1,0,0,0,0,0,0,1,0,0,0,0,0
2357,21,16,1,0,0,0,0,0,0,1,1,0,0,0,0
2757,6,176,1,0,0,0,0,0,0,0,0,0,0,0,0
2757,7,228,1,0,0,0,0,0,0,0,0,0,0,0,0
2757,8,151,1,0,0,0,0,0,0,0,0,0,0,0,0
2757,9,698,1,0,0,0,0,0,0,0,0,0,0,0,0
2757,10,270,1,0,0,0,0,0,0,0,0,0,0,0,0
2757,11,224,1,0,0,0,0,0,0,0,0,0,0,0,0
2757,12,90,1,0,0,0,0,0,0,0,0,0,0,0,0
2757,13,93,1,0,0,0,0,0,0,0,0,0,0,0,0
2757,14,134,1,0,0,0,0,0,0,0,0,0,0,0,0
2757,15,120,1,0,0,0,0,0,0,0,0,0,0,0,0
2757,16,96,1,0,0,0,0,0,0,0,0,0,0,0,0
2758,11,353,1,0,0,0,0,0,0,0,0,0,0,0,0
2758,12,199,1,0,0,0,0,0,0,0,0,0,0,0,0
2758,13,197,1,0,0,1,0,0,0,0,0,0,0,0,0
2758,14,380,1,0,0,0,0,0,0,0,0,0,0,0,0
2758,15,284,1,0,0,0,0,0,0,0,0,0,0,0,0
2758,16,215,1,0,0,0,0,0,0,0,0,0,0,0,0
2758,17,163,1,0,0,0,0,0,0,0,0,0,0,0,0
2758,18,368,1,0,0,0,0,0,0,0,0,0,0,0,0
2758,19,304,1,0,0,0,0,0,0,0,0,0,0,0,0
2758,20,182,1,0,0,0,0,0,0,1,0,0,0,0,0
2758,21,132,1,0,0,0,0,0,0,0,0,0,0,0,0
2759,1,112,1,0,0,0,1,0,0,0,0,0,0,0,0
2759,2,75,1,0,0,0,0,0,0,0,0,0,0,0,0
2759,3,176,1,0,0,0,0,0,0,1,0,0,0,0,0
2759,4,171,1,0,0,0,0,0,0,1,0,0,0,0,0
2759,5,131,1,0,0,0,0,0,0,1,0,0,0,0,0
