ProdID,Wk,Month,Vid ,VidWk,PreVidWk,PostVidWk,Sales,ProdCat,ProdPrice,PriceDiscWk,EmailWk,CatalogWk,HomePgWk,CatPgWk
3381,6,2,1,1,0,0,181,5,16.9,0,0,0,0,0
3381,7,2,1,1,0,0,182,5,16.9,0,0,0,0,0
3381,8,2,1,1,0,0,132,5,16.9,0,0,0,0,0
3381,9,3,1,1,0,0,125,5,16.9,0,0,0,0,0
3381,10,3,1,1,0,0,204,5,16.9,0,0,0,0,0
3381,11,3,1,1,0,0,165,5,16.9,0,0,0,0,0
3381,12,3,1,1,0,0,140,5,16.9,0,0,0,0,0
3381,13,4,1,1,0,0,86,5,16.9,0,0,0,0,0
3381,14,4,1,1,0,0,266,5,16.9,0,0,0,0,0
3381,15,4,1,1,0,0,183,5,16.9,0,0,0,0,0
3381,16,4,1,1,0,0,109,5,16.9,0,0,0,0,0
3381,17,5,1,1,0,0,87,5,16.9,0,0,0,0,0
3381,18,5,1,1,0,0,121,5,16.9,0,0,0,0,0
3381,19,5,1,1,0,0,63,5,16.9,0,0,0,0,0
3381,20,5,1,1,0,0,12,5,16.9,0,0,0,0,0
3381,21,6,1,1,0,0,6,5,16.9,0,0,0,0,0
3381,22,6,1,1,0,0,24,5,16.9,0,0,0,0,0
3381,23,6,1,1,0,0,4,5,16.9,0,0,0,0,0
3381,24,6,1,1,0,0,4,5,16.9,0,0,0,0,0
3381,25,7,1,1,0,0,0,5,16.9,0,0,0,0,0
3381,26,7,1,1,0,0,0,5,16.9,0,0,0,0,0
3381,27,7,1,1,0,0,0,5,16.9,0,0,0,0,0
3381,28,7,1,1,0,0,0,5,16.9,0,0,0,0,0
3696,1,1,1,1,0,0,56,3,24.9,0,0,0,0,0
3696,2,1,1,1,0,0,44,3,24.9,0,0,0,0,0
3696,3,1,1,1,0,0,42,3,24.9,0,0,0,0,0
3696,4,1,1,1,0,0,53,3,24.9,0,0,0,0,0
3696,5,2,1,1,0,0,52,3,24.9,0,0,0,0,0
3696,6,2,1,1,0,0,36,3,24.9,0,0,0,0,0
3696,7,2,1,1,0,0,42,3,24.9,0,0,0,0,0
3696,8,2,1,1,0,0,46,3,24.9,0,0,0,0,0
3696,9,3,1,1,0,0,204,3,24.9,0,0,0,0,0
3696,10,3,1,1,0,0,30,3,24.9,0,0,0,0,0
3696,11,3,1,1,0,0,28,3,24.9,0,0,0,0,0
3696,12,3,1,1,0,0,18,3,24.9,0,0,0,0,0
3696,13,4,1,1,0,0,15,3,24.9,0,0,0,0,0
3696,14,4,1,1,0,0,20,3,24.9,0,0,0,0,0
3696,15,4,1,1,0,0,19,3,24.9,0,0,0,0,0
3696,16,4,1,1,0,0,15,3,24.9,0,0,0,0,0
3696,17,5,1,1,0,0,24,3,24.9,0,0,0,0,0
3696,18,5,1,1,0,0,27,3,24.9,0,0,0,0,0
3696,19,5,1,1,0,0,18,3,24.9,0,0,0,0,0
3696,20,5,1,1,0,0,20,3,24.9,0,0,0,0,0
3696,21,6,1,1,0,0,11,3,24.9,0,0,0,0,0
3696,22,6,1,1,0,0,18,3,24.9,0,0,0,0,0
3696,23,6,1,1,0,0,19,3,24.9,0,0,0,0,0
3696,24,6,1,1,0,0,13,3,24.9,0,0,0,0,0
3696,25,7,1,1,0,0,15,3,24.9,0,0,0,0,0
3696,26,7,1,1,0,0,14,3,24.9,0,0,0,0,0
3696,27,7,1,1,0,0,14,3,24.9,0,0,0,0,0
3696,28,7,1,1,0,0,14,3,24.9,0,0,0,0,0
3890,11,3,1,1,0,0,44,5,14.9,0,0,0,0,0
3893,6,2,1,1,0,0,92,5,14.9,0,0,0,0,0
3893,7,2,1,1,0,0,100,5,14.9,0,0,0,0,0
3893,8,2,1,1,0,0,68,5,14.9,0,0,0,0,0
3893,9,3,1,1,0,0,317,5,14.9,0,0,0,0,0
3893,10,3,1,1,0,0,324,5,14.9,0,0,0,0,0
3893,11,3,1,1,0,0,243,5,14.9,0,0,0,0,0
3893,12,3,1,1,0,0,123,5,14.9,0,0,0,0,0
3893,13,4,1,1,0,0,83,5,14.9,0,0,0,0,0
3893,14,4,1,1,0,0,233,5,14.9,0,0,0,0,0
3893,15,4,1,1,0,0,183,5,14.9,0,0,0,0,0
3893,16,4,1,1,0,0,136,5,14.9,0,0,0,0,0
3924,11,3,1,1,0,0,170,5,16.9,0,0,0,0,0
3924,12,3,1,1,0,0,109,5,16.9,0,0,0,0,0
3924,13,4,1,1,0,0,74,5,16.9,0,0,0,0,0
3924,14,4,1,1,0,0,141,5,16.9,0,0,0,0,0
3924,15,4,1,1,0,0,133,5,16.9,0,0,0,0,0
3924,16,4,1,1,0,0,80,5,16.9,0,0,0,0,0
3924,17,5,1,1,0,0,59,5,16.9,0,0,0,0,0
3924,18,5,1,1,0,0,119,5,16.9,0,0,0,0,0
3924,19,5,1,1,0,0,129,5,16.9,0,0,0,0,0
3924,20,5,1,1,0,0,67,5,16.9,0,0,0,0,0
3924,21,6,1,1,0,0,51,5,16.9,0,0,0,0,0
3930,11,3,1,1,0,0,28,5,19.9,0,0,0,0,0
3930,12,3,1,1,0,0,24,5,19.9,0,0,0,0,0
3930,13,4,1,1,0,0,18,5,19.9,1,0,0,0,0
3930,14,4,1,1,0,0,20,5,19.9,1,0,0,0,0
3930,15,4,1,1,0,0,29,5,19.9,1,0,0,0,0
3930,16,4,1,1,0,0,11,5,19.9,1,0,0,0,0
3930,17,5,1,1,0,0,16,5,19.9,1,0,0,0,0
3930,18,5,1,1,0,0,23,5,19.9,1,0,0,0,0
3930,19,5,1,1,0,0,108,5,19.9,1,0,0,0,0
3930,20,5,1,1,0,0,616,5,19.9,1,0,0,0,0
